text,label
отсутствует освещение зоне num,1
закончились резцы токарного станка num,3
оформление отпуска сотрудника петрова,5
перегрев двигателя вытяжки цехе num,0
проверить заземление оборудования num,1
нужна калибровка измерительного инструмента num,8
распределительном щите num искрит,1
закончились резцы токарного станка num,3
зависает корпоративная почта outlook сотрудника num,12
не_подключается ноутбук num корпоративной сети,12
зависает numс формировании отчета,12
колонки рабочей станции num не_воспроизводят звук,12
не_работает сканер отпечатка пальца входе num,12
монитор num рабочем месте num мигает полосы экране,12
пора менять картриджа принтера num,12
сломалась мышь num рабочем месте пора менять,12
не_работает веб камера переговорной num,12
зарядное устройство ноутбука num перестало работать,12
настройка нового ноутбука сотрудника,12
нужна замена блока питания системного блока num,12
зависает корпоративный мессенджер teams отдела num,12
ip телефон num не_выходит внешнюю линию,12
не_воспроизводится звук рабочей станции num,12
не_работает numю порт системном блоке num,12
завис компьютер бухгалтера не_реагирует клавиатуру,12
принтер num выдает ошибку замятие бумаги не_устраняется,12
не_отправляются факсы аппарата num этаже num,12
сломался сканер отделе кадров num,12
экран монитора num не_реагирует прикосновения,12
пора апгрейд оперативной памяти пк num,12
уборщица не_вышла смену num этаж не_убран,13
желательно дератизация складского помещения num,13
лужа воды кулера num этаже нужно убрать,13
не_убраны картонные коробки складе мешают проходу,13
мусорный контейнер входа num переполнен,13
не_убраны остатки еды кухне num этажа,13
не_работает освежитель воздуха туалете num этажа,13
неприятный запах серверной комнате num проверьте пожалуйста,13
грязные жалюзи кабинете num нужно почистить,13
нужно почистить ковра зоне ресепшн мероприятия,13
не_работает вентиляция туалете num этаже,13
нужно помыть окон офисе num квартал,13
желательно генеральная уборка архивного помещения num,13
засорилась раковина туалете num этаже,13
плесень обнаружена стене санузла num этажа нужно обработать,13
хотелось внеплановая уборка склада num,13
закончилось мыло диспенсере туалета num этажа,13
кухонная раковина num этажа засорена вода не_уходит,13
мусорные корзины num этаже переполнены не_вывозятся,13
разлита жидкость коридоре num этаже скользко опасно,13
сломан мусоропровод этаже num мусор не_вывозится,13
грязный ковролин переговорной num хотелось химчистка,13
обнаружен оборванный провод участке num опасно,1
нет напряжения участке num,1
не_включается освещение склада num,1
нет заземления оборудования участка num,1
не_включается дежурное освещение этаже num,1
мигает освещение офисе num этаже скачки напряжения,1
не_горят светильники зоне хранения num,1
сгорел предохранитель панели управления num,1
выбивает автомат включении станка num,1
выбило пробки щитке участка num,1
трансформатор num издает гудение проверьте пожалуйста,1
искрит розетка серверной комнате num,1
пропало напряжение половине офиса num этажа,1
потемнел выключатель кабинете num возможно оплавление,1
вышел строя светодиодный светильник num офисе num,1
перегрев электрощита num проверьте пожалуйста,1
не_работает розеточная группа переговорной num,1
мигает свет коридоре num этаже,1
неисправна проводка кабинете num проверьте пожалуйста,1
короткое замыкание удлинителе num офисе num,1
не_работает розетка рабочем месте num,1
не_работает аварийный выключатель линии num,1
пора менять кабеля питания конвейера num,1
отклонение плоскостности плиты num нормативного значения,2
неправильный цвет окраски изделий партии num,2
несоответствие размеров вала техническому заданию num,2
несоответствие диаметра отверстий корпуса num чертежу,2
несоответствие упаковки изделий требованиям партия num,2
поломка зубьев шестерни изделие num дефект изготовления,2
обнаружен дефект лакокрасочного покрытия партии num,2
выявлены дефекты механической обработки вала num,2
выявлен брак резьбы деталях партии num,2
выявлена утечка прокладок изделиях партии num,2
партия num литья имеет раковины нужна разбраковка,2
обнаружен облом сверла внутри детали num,2
дефект поверхности хромирования деталей партии num,2
выявлена разнотолщинность листового проката партии num,2
несоответствие параметров уплотнения num требованиям,2
несоответствие посадки подшипника изделии num норме,2
несоответствие маркировки тары упаковки партии num,2
отклонение межосевого расстояния редуктора num нормы,2
деформация корпуса редуктора num сборке брак,2
несоответствие биения вала num требованиям чертежа,2
выявлен брак полимерного покрытия деталей партии num,2
несоответствие давления настройки клапана num паспорту,2
выявлен брак покраски корпусов партии num,2
деформация фланца изделии num пора менять,2
несоответствие прочности разрыв материала партии num,2
выявлен брак литья алюминия партия num раковины,2
выявлена неоднородность структуры материала партии num,2
обнаружены трещины корпусных деталях партии num,2
деформация корпуса изделий партии num сборке,2
неравномерность нанесения краски изделиях партии num,2
отклонение массы изделий партии num нормы,2
отклонение твердости зубьев шестерни num,2
несоответствие шероховатости поверхности num требованиям,2
обнаружена раковина центре отливки num брак,2
несоответствие кромки реза заготовок партии num,2
выявлен брак пайки платы num стоит переделка,2
несоответствие параметров фильтра num номиналу,2
выявлен брак сварного шва изделии num,2
обнаружен дефект покрытия труб партии num,2
выявлен брак нарезки резьбы метчиком партия num,2
обнаружены включения шлака сварном шве изделии num,2
выявлена некондиция num процентов изделий партии num,2
несоответствие суммарного зазора сборке num чертежу,2
отклонение твердости деталей партии num,2
выявлен брак сборке редуктора num,2
выявлена деформация резьбы болтов партии num,2
несоответствие балансировки ротора num требованиям,2
выявлен брак гибки труб партии num,2
несоответствие длины кабеля num номинальному значению,2
несоответствие геометрии профиля проката партии num,2
несоответствие характеристик электродвигателя num паспорту,2
несоответствие покрытия деталей стандарту num,2
выявлен брак термообработки деталей партии num,2
несоответствие веса отливок партии num норме,2
обнаружен облой литых деталях партии num,2
несоответствие кривизны вала num допустимым значениям,2
несоответствие цвета маркировки проводов партии num,2
царапины поверхности готовых изделий партии num,2
необходима партия труб диаметром num мм,3
нет чистящих средств оборудования цеха num,3
нет герметика сборки узлов линии num,3
необходима поставка графитовых смазок узлов num,3
закончились насадки дрели num типоразмер,3
закончились фрезы концевые диаметром num мм,3
стоит партия электродов сварки num,3
стоит поставка подшипников num ремонта,3
нет бумажных полотенец технических уборки масла,3
нет кислоты травления деталей партии num,3
хотелось поставка медной шины электромонтажа,3
закончились перчатки рабочих цеха num,3
нет проволоки вязки арматуры строительство num,3
пополните запас бумаги документации,3
нет смазочных материалов станков цеха num,3
закажите клей ремонта конвейера num,3
необходима поставка латексных перчаток лаборатории,3
поставка фильтрующих элементов num,3
нет клеммников электромонтажа щитка num,3
нужна заказать пружины узлов станка num,3
желательно заказать листовой металл изготовления num,3
закончились абразивные лепестки шлифовки num,3
нет рабочей жидкости гидравлического пресса num,3
нужен поставка газовых баллонов сварки,3
закончилось охлаждающее масло токарных станков,3
закончились сверла диаметром num мм участке num,3
закончились хомуты крепления трубопроводов num,3
нет паяльного флюса ремонта плат цеха num,3
закончилась лента фум монтажа трубопроводов,3
закончились маркеры маркировки кабелей num,3
стоит поставка ремней привода станков num,3
хотелось заказать алмазные круги резки num,3
закончились изолента кабельные стяжки складе,3
необходима поставка крепежа болты м num,3
нет деревянных поддонов хранения деталей склад,3
хотелось поставка шлифовальных кругов num,3
закончились дюбели анкеры монтажа оборудования,3
закончилась краска маркировки деталей,3
закончилась наждачная бумага зернистость num,3
отсутствуют прокладки насосов склад пуст,3
пополните запас воздушных фильтров num,3
закончились резиновые коврики станков цеха num,3
стоит заказать прокладки паронит фланцев num,3
закончилось масло гидравлики пресса num,3
нет упаковочных материалов готовой продукции,3
необходима поставка виброгасящих прокладок num,3
поставка нержавеющих хомутов num дюйм,3
нет изоляционных колпачков клемм щитка num,3
заказать катанку num производства,3
закончились защитные очки рабочих цеха num,3
закончились термоусадочные трубки изоляции num,3
нет клеящей ленты упаковки изделий склада num,3
установить перила лестнице участка num,4
не_обеспечены работники специальным питанием вредные условия num,4
отсутствуют знаки безопасности электрощитах num,4
сотрудник num получил травму нужно оформление документов,4
стоит оформить акт расследования несчастного случая num,4
превышение уровня шума рабочем месте num,4
не_работает система вентиляции зоне сварки num,4
не_соблюдаются нормы температуры воздуха рабочем месте num,4
нарушение правил транспортировки баллонов сжатым газом,4
хотелось обновить инструкции охране труда num,4
отсутствует сигнализация превышения температуры зоны num,4
нарушение регламента работ замкнутых пространствах num,4
нарушение правил безопасной эксплуатации котлов num,4
нарушение работе грузами вручную зона num,4
нарушение правил безопасности химической обработке num,4
не_выданы средства защиты органов слуха рабочим num,4
нарушение правил безопасного подъема лестнице num,4
отсутствуют средства индивидуальной защиты рабочих num участка,4
желательно провести расследование микроповреждения сотрудника num,4
не_оформлена карта специальной оценки рабочего места num,4
нужен оформить наряд допуск огневые работы num,4
нарушение маршрута движения транспорта территории num,4
нужен оборудовать место курения нормам num,4
истек срок обучения первой помощи сотрудников num,4
отсутствует журнал регистрации инструктажей участка num,4
истек срок действия допуска электромонтажные работы num,4
не_ведется журнал регистрации аварий инцидентов num,4
установить защитные барьеры конвейера num,4
стоит провести спецоценку условий труда участок num,4
не_укомплектована аптечка первой помощи num участке,4
нарушение ведения сменного журнала охраны труда num,4
нарушение складирования материалов превышена высота num,4
истек срок проверки знаний охране труда отдела num,4
не_работает душевая работников вредных производств num,4
нужно заменить предупреждающие знаки безопасности num,4
необходим внеплановый инструктаж изменения технологии,4
нужно поставить ограждения опасной зоны станка num,4
не_установлен тревожный знак неисправного оборудования num,4
отсутствует плакат охране труда участке num,4
не_укомплектован пожарный щит участка num,4
нарушение использовании грузоподъемных механизмов num,4
не_работает сигнализация загазованности помещения num,4
нарушение хранения опасных химических веществ склад num,4
истек срок инструктажа пожарной безопасности цеха num,4
истек срок поверки газоанализатора num участка,4
отсутствует ограждение траншеи входа num опасно,4
нужен внеплановый медосмотр сотрудников участка num,4
прошу проведение пожарно тактических учений цеха num,4
обнаружено нарушение проверке охраны труда цеха num,4
нарушение правил безопасности работе электроинструментом,4
пора менять защитного кожуха станка num,4
пора менять промышленных противогазов срок истек num,4
нарушение правил работы высоте участок num,4
истек срок поверки средств измерений опасных факторов num,4
пора оформить допуск самостоятельной работе num,4
отсутствует рубильник аварийного отключения станка num,4
нужна обновить план эвакуации этаже num,4
не_заполнена личная карточка т num приеме,5
не_зарегистрирован новый сотрудник num системе,5
изменить график работы отдела num,5
нужна приказ временном исполнении обязанностей num,5
ошибка начислении районного коэффициента num,5
не_выплачены суточные командировку сотрудника num,5
оформить внутреннее совместительство сотруднику num,5
ошибка коде подразделения трудовой книжке num,5
сотрудник num сменил фамилию желательно переоформление,5
провести собеседование вакансию num,5
не_подписан приказ назначении наставника num,5
не_проведена плановая аттестация специалистов num,4
не_оплачен сверхурочный час num сотрудника num,5
нужно справка num н службы занятости,5
оформление дополнительного отпуска вредность num,5
перевод сотрудника num другую должность,5
нужен справка банка сотрудника num,5
не_оформлено повышение квалификации трудовой num,5
стоит оформить совмещение должностей num,5
хотелось закрыть вакансию срочно участок num остановлен,5
нужна расчет выплата выходе пенсию num,5
не_зачтен стаж расчете отпускных сотрудника num,5
прошу продлить срочный трудовой договор сотрудника num,5
хотелось приказ переводе сотрудника num,5
желательно оформить перевод подразделениями num,5
изменение паспортных данных сотрудника num обновить,5
хотелось продление испытательного срока сотрудника num,5
хотелось изменить норму рабочего времени num,5
ошибка приказе отпуске сотрудника num,5
нужен составить график отпусков год num,5
нужен получить характеристику сотрудника num,5
оформить дисциплинарное взыскание сотруднику num,5
не_предоставлен отпуск уходу ребенком num,5
прошу оформить работника num внешнего совместителя,5
не_проведен инструктаж локальным актам num,4
ошибка расчете выходного пособия num,5
нужна уведомление сокращении штата отдела num,5
оформить дополнительный оплачиваемый день сотруднику num,5
изменение условий трудового договора сотрудника num,5
стоит справка периодах работы пенсионного фонда,5
сотрудник num не_получил премию квартал num,5
хотелось дополнительное соглашение договору num,5
оформить ежегодный медосмотр сотрудников отдела num,5
оформление декретного отпуска сотруднице num,5
оформить больничный лист сотрудника num,5
не_выплачена доплата расширение зоны обслуживания num,5
не_закрыта вакансия инженера num длительный срок,5
сотрудник num уволен прошу расчет,5
хотелось переоформить трудовой договор связи реорганизацией,5
не_выдан полис дмс новому сотруднику num,5
не_закрыт электронный листок нетрудоспособности num,5
не_начислена компенсация неиспользованный отпуск num,5
желательно изменить реквизиты перечисления зарплаты num,5
не_оформлен ученический договор сотрудником num,5
внесение изменений штатное расписание отдела num,5
сотрудник num просит копию трудового договора,5
оформить материальную помощь сотруднику num,5
не_выдан расчетный листок месяц num,5
желательно обновить должностную инструкцию num,5
стоит согласование нового штатного расписания,5
не_включен стажер num табель учета рабочего времени,5
сбой системы мониторинга оборудования num,6
не_открываются файлы docx рабочей станции num,6
не_отображается история операций системе num,6
нужна перенастроить маршрутизатор сбоя питания num,6
ошибка закрытии периода системе num,6
потерян доступ корпоративной почте num,6
не_отправляются уведомления системы мониторинга num,6
не_работает корпоративный мессенджер отдела num,6
сбой работе системы электронного документооборота num,6
желательно настроить сетевой диск отдела num,6
нужно поставить антивируса рабочую станцию num,6
нужна миграция почтовых ящиков отдела num,6
не_работает корпоративный чат поддержки клиентов num,6
хотелось создать новую учетную запись сотруднику num,6
не_доступна база знаний корпоративном портале,6
сбой алертов системы мониторинга сети num,6
не_синхронизируется расписание корпоративном календаре num,6
не_синхронизируются данные планшета сервером num,6
не_работает защищенный канал связи объектом num,6
потерян пароль корпоративному сервису num,6
установить сертификат безопасности сервер num,6
ошибка авторизации системе управления производством num,6
не_работает корпоративная wi fi сеть этаже num,6
настроить резервный канал интернета офиса num,6
сбой работе num сервера требует перезапуска,6
ошибка обновления конфигурации num базы num,6
ошибка синхронизации справочников системе num,6
желательно восстановление работы сервера сбоя num,6
не_работает numс бухгалтерия компьютере num,6
ошибка резервного копирования данных сервера num,6
не_работает удаленный доступ рабочему столу num,6
не_работает веб сервис интеграции системой num,6
нужен проверить целостность базы данных num,6
не_загружаются модули конфигурации num компьютере,6
желательно добавить пользователя группу безопасности num,6
ошибка формировании электронного реестра num,6
сбой интеграции crm num системой,6
сбой обмене данными банком системе num,6
не_доступен удаленный рабочий стол сотрудника num,6
нужно развернуть тестовую среду проекта num,6
настройка корпоративной почты телефоне num,6
не_работает корпоративная система заявок helpdesk,6
нужен архивация старых данных освобождения места num,6
не_работает корпоративное приложение смартфоне num,6
пора предоставить доступ базе данных num,6
нужна установить драйвер оборудования станцию num,6
нужно установить обновления безопасности сервер num,6
сбой синхронизации данных системами num,6
сбой системе управления складом wms num,6
ошибка импорта данных excel систему num,6
прошу выдать новые ключи электронной подписи num,6
не_работает корпоративный vpn сотрудника num,6
нужна настройка удаленного рабочего стола num,6
сбой интеграции системы num бухгалтерией,6
не_работает система контроля доступа входе num,6
не_загружается операционная система компьютера num,6
желательно установить новую версию autocad num,6
не_работает сервис электронной подписи num,6
сбой системы планирования производства erp num,6
ошибка выгрузки данных государственную систему num,6
прошу перенос данных замене компьютера num,6
нужна восстановить удаленные данные сервера num,6
вытекает тосол системы охлаждения агрегата num,7
мокрый пол серверной комнате num источник неизвестен,7
капает конденсат компрессора num пол скользко,7
вытекает электролит аккумуляторов погрузчика num,7
протечка фланцевого соединения трубопровода num,7
протечка торцевого уплотнения насоса гликоля num,7
течет батарея отопления коридоре num этажа,7
обнаружена течь ванной мойкой кухни num этажа,7
обнаружена утечка хладагента кондиционера num,7
протечка гидравлики манипулятора num нужен устранение,7
вытекает дизельное топливо бака генератора num,7
течет расширительный бачок системы отопления num,7
протечка гофры выхлопа компрессора num,7
обнаружена утечка воздуха пневмоцилиндра num,7
вытекает масло прокладку поддона двигателя num,7
течет кран туалете num этажа,7
протечка трубопровода сжатого воздуха цеха num,7
вытекает тормозная жидкость погрузчика num,7
капает шланга подачи воды станку num,7
капает конденсат системы вентиляции кабинета num,7
протечка прокладки люка резервуара num,7
обнаружена конденсатная лужа кондиционером num,7
протечка гидравлической системы пресса num,7
вытекает смазка подшипникового узла конвейера num,7
течет соединение быстрорасъемной муфты num,7
течет унитаз туалете num этажа постоянно,7
затопило подвал здания дождя,7
вытекает реагент промывочной системы num,7
капает вода оконного проема кабинет num дожде,7
течь системе водоснабжения склада num,7
капает трубы рядом электрощитком num опасно,7
обнаружено намокание пола шкафом электрощита num,7
протечка корпуса фильтра тонкой очистки воды num,7
протечка трубы канализации подсобном помещении num,7
обнаружена течь манометра давлении num атм,7
капает вода системы пожаротушения спринклер num,7
протечка диафрагменного насоса дозирования num,7
протечка системы охлаждения чиллера num,7
вытекает масло редуктора конвейера num,7
капает вода водонагревателя num этажа,7
протечка гайки накидной шланге гидравлики num,7
протечка запорного крана входе здания num,7
обнаружена утечка воды посудомоечной машины кухни num,7
течет кран подпитки системы отопления num,7
протечка шарового крана водоснабжения санузла num,7
обнаружена лужа воды компрессором num,7
течет сливная труба раковины кухне num этажа,7
мокрое пятно потолке кабинета num,7
протечка стыка канализационных труб подвале num,7
обнаружена утечка воды кулера num этажа,7
подтекает насос системы отопления num,7
протечка системы дренажа кондиционера кабинете num,7
обнаружена утечка форсунок системы пожаротушения num,7
протечка коллектора отопления техническом этаже num,7
плановое обслуживание электроприводов конвейеров num,8
пора менять ремней привода насоса num,8
нужна проведение ежегодной ревизии трубопроводов,8
провести поверку весоизмерительного оборудования num,8
замена электродвигателей насосов регламенту num,8
замена срабатываний датчиков пожаротушения num,8
плановое обслуживание гидравлических прессов num,8
желательно ежегодная инспекция сосудов давлением num,8
пора менять защитных экранов станков графику,8
обслуживание центробежных насосов графику num,8
плановая ревизия предохранительных клапанов num,8
нужно провести техническое освидетельствование котла num,8
плановое обслуживание системы num охлаждения,8
плановое обслуживание системы дымоудаления здания,8
провести диагностику состояния кабелей num,8
замена воздушных фильтров компрессоров регламенту num,8
замена ламп аварийного освещения регламенту num,8
плановая ревизия технологических трубопроводов num,8
замена расходомеров графику метрологической службы num,8
нужна провести виброконтроль подшипников num,8
замена масла редукторах линии num регламенту,8
плановая ревизия запорной арматуры котельной num,8
плановая промывка системы водоснабжения здания num,8
стоит провести ежегодный осмотр лестниц площадок,8
прошу провести ежегодный осмотр грузоподъемных кранов,8
замена счетчиков расхода воды регламенту num,8
замена уплотнений насосов регламенту num,8
плановое обслуживание регуляторов давления системы num,8
замена аккумуляторов погрузчиков регламенту num,8
плановая замена прокладок арматуры трубопровода num,8
плановое техническое обслуживание подъемников цеха num,8
плановая проверка состояния заземления оборудования num,8
плановое обслуживание вентиляционных установок num,8
замена прокладок фланцевых соединений регламенту num,8
плановая очистка теплообменника системы охлаждения num,8
плановое обслуживание системы смазки конвейера num,8
плановое обслуживание пневматических цилиндров линии num,8
провести регламентную очистку баков num,8
плановое техническое обслуживание компрессора num регламенту,8
плановая диагностика состояния изоляции кабелей num,8
прошу провести ежеквартальное обслуживание чиллеров num,8
прошу провести регламентную смазку цепных передач num,8
желательно плановая регулировка клапанов двигателя num,8
плановая диагностика сварочного оборудования num,8
обслуживание станции управления конвейером num,8
замена технологических жидкостей системе num графику,8
плановая проверка замена анодов водонагревателей num,8
плановое обслуживание насосов пожаротушения num,8
стоит плановая регулировка тормозов конвейеров num,8
замена фильтра тонкой очистки масла агрегата num,8
организовать курс автоматизации отчетности финотдела,9
хотелось обучение специалистов закупкам работе новой системой,9
провести обучение методам бережливого производства num,9
желательно переобучение слесарей работы новом оборудовании,9
обучение токарей работе чпу станками num,9
провести обучение водителей погрузчиков участка num,9
провести обучение сотрудников работе num новым модулем,9
организовать обучение цифровой трансформации руководителей,9
организовать корпоративное обучение этике комплаенсу,9
организовать обучение iso num специалистов качеству,9
нужно обучение операторов линии работе новым программным обеспечением num,9
организовать вебинар изменениям законодательстве num,9
провести обучение сотрудников num работе кассовыми аппаратами,9
провести обучение менеджеров навыкам продаж,9
организовать дистанционное обучение филиала num,9
провести обучение операторов производства методикам контроля num,9
провести обучение охране окружающей среды цеха num,9
организовать аттестацию аппаратчиков num разряду,9
нужно обучение сотрудников службы охраны труда num,9
организовать обучение работников безопасным методам труда,9
хотелось обучение грузчиков правилам безопасного подъема,9
организовать вводный инструктаж стажеров num,4
нужен обучение электриков работе новыми щитками num,9
провести обучение секретарей работе документами новым правилам,9
стоит обучение технологов работе новым программным обеспечением,9
организовать семинар управлению проектами отдела,9
организовать курсы английского языка инженеров,9
нужно обучение операторов погрузчиков участка num,9
организовать обучение пожарно техническому минимуму отдела num,4
провести обучение персонала работе crm системой,9
нужен обучение технологов документированию производственных процессов,9
провести обучение оценщиков работе новому регламенту,9
провести обучение руководителей навыкам постановки задач,9
организовать курсы повышения квалификации бухгалтеров,9
провести обучение юридического отдела изменениям законодательства,9
провести обучение работе измерительным инструментом num,9
провести обучение работе новой версией erp,9
хотелось обучение нового оператора станка num,9
нужен обучение персонала правилам первой помощи,9
прошу обучение наладчиков работе новым станком num,9
провести обучение складских работников правилам приемки,9
организовать семинар новым стандартам качества num,9
прошу обучение экономистов работе num системой,9
нужна обучение менеджеров склада работе новой wms системой,9
нужно обучение диспетчеров работе новым программным обеспечением,9
нужна обучение кладовщиков работе штрихкодированием,9
организовать тренинг операторов линии снижению брака,9
пора обучение технических специалистов новому регламенту обслуживания,9
пересмотреть план загрузки кузнечного участка num,10
изменить план передачи деталей участками num,10
обновить план производственных совещаний месяц,10
хотелось скорректировать график выпуска продукции num,10
стоит обновить план внутрицеховой кооперации num,10
нужен обновить производственное задание цеха num,10
скорректировать план выпуска нехватки сырья num,10
изменить последовательность операций линии num,10
уточнить приоритеты заданий смену num,10
пересмотреть план производства учетом сезонности num,10
скорректировать задание смене num аварии,10
изменить план работы склада num связи поставкой,10
стоит скорректировать план ремонтов квартал num,10
обновить план производства учетом новой заявки num,10
обновить план потребности материалах num,10
обновить план ппр оборудования квартал,10
обновить оперативно календарный план num,10
хотелось пересмотреть план расстановки оборудования num,10
пересмотреть план подачи материалов участок num,10
скорректировать план подготовки производства изделия num,10
скорректировать план выпуска деталей участка num месяц,10
скорректировать план входного контроля партии num,10
нужна изменить срок исполнения заказа num,10
скорректировать план обработки деталей кооперации num,10
скорректировать план закупок материалов num,10
перенести срок сдачи заказа num связи поломкой,10
прошу изменить задание оператору станка num смену,10
обновить план производственных мощностей год num,10
обновить план комплектации заказа num отгрузки,10
перераспределить задания участками num num,10
пересмотреть план снижению себестоимости продукции num,10
обновить план загрузки технологического оборудования num,10
