text,label
срочное обращение к руководству вводный инструктаж в учебном классе требуется согласовать обучение для допуска к самостоятельной работе пожалуйста разберитесь с этим как можно быстрее,9
гидравлический пресс,0
вчера во время рабочей смены произошло следующее подъемник на втором участке бьет током горит красная лампочка невозможно продолжать нормальную работу в таких условиях,0
график загрузки станков для выполнения контракта измените сроки,10
вчера во время рабочей смены произошло следующее новости спорта в уютном кафе пошел погулять кофе разлили на пол надеюсь на оперативное решение данной проблемы,11
обратите внимание на то что у нас конструкторская спецификация на текущую неделю утвердите у начальника срочно передайте в работу надеюсь на оперативное решение данной проблемы,10
обучение нового сотрудника участке num,9
довожу до вашего сведения что машинное масло для операторов станков выдайте новые нечем протирать детали невозможно продолжать нормальную работу в таких условиях,3
коридор цеха выбросите хлам на лестничной площадке,13
вчера во время рабочей смены произошло следующее вопросы жилья в гостях у друзей прогуливаюсь на улице надеюсь на понимание прошу принять срочные меры и прислать ответственного специалиста,11
в очередной раз сообщаю что справка num ндфл в личном кабинете согласуйте пожалуйста нужно для оформления кредита пожалуйста разберитесь с этим как можно быстрее,5
поступило обращение с неясным содержанием от num,11
техническое обслуживание в компрессорной станции прошу организовать,8
в очередной раз сообщаю что программа numс на сервере предприятия работает крайне медленно работа офиса полностью парализована это мешает выполнению дневного плана производства,6
обучение сотрудников для новых операторов направьте на курсы,9
хуесос,14
смазка направляющих в компрессорной станции подошло время делать,8
после шлифовки имеет раковины в литье резьбовое соединение,2
путин вор бля,14
жид,14
нужно убрать,13
мфу canon сломался,12
плановое обслуживание системы аварийной сигнализации num,8
резьбовое соединение со сколами после фрезеровки,2
обратите внимание на то что у нас хобби и увлечения в курилке около цеха обсуждаю с коллегой надеюсь на понимание это мешает выполнению дневного плана производства,11
обратите внимание на то что у нас странный шум на территории у мастера смены пошел прогуляться просто хотел спросить пожалуйста разберитесь с этим как можно быстрее,11
проход в цеху заблокировано в зоне погрузки,4
довожу до вашего сведения что защитное покрытие после термической обработки не_соответствует чертежу отдел контроля не_принимает работу пожалуйста разберитесь с этим как можно быстрее,2
курилка во дворе засорилась на лестничной площадке,13
в очередной раз сообщаю что прогулка в курилке около цеха кто за это отвечает это не_входит в другие категории прошу принять срочные меры и прислать ответственного специалиста,11
довожу до вашего сведения что бак с эмульсией на чердаке над архивом протекает образовалась огромная лужа прошу принять срочные меры и прислать ответственного специалиста,7
защитное ограждение нарушается сотрудниками на основном проходе,4
не_оформлен ученический договор с сотрудником num,5
заблокирована администратором,6
плановая аттестация,9
посоветуйте фильм кофе,11
металлические хомуты нужно срочно получить для ремонтной бригады,3
пидрила,14
plan порно,14
для сотрудников смены num проведите инструктаж обучение сотрудников,9
грязный ковер в холле первого этажа требует чистки,13
картонные коробки выбросите хлам в раздевалке цеха,13
не_выброшен просроченный продукт из холодильника кухни num,13
вчера во время рабочей смены произошло следующее перевод в другой цех в бухгалтерии подпишите у руководства ухожу со следующего понедельника надеюсь на оперативное решение данной проблемы,5
пидорас нахуй,14
обратите внимание на то что у нас новости спорта на детской площадке поехал на дачу выпили по чашке чая это мешает выполнению дневного плана производства,11
для сборочной бригады измените сроки конструкторская спецификация,10
срочное обращение к руководству вал двигателя на участке сборки искривлен клиент вернет такую продукцию невозможно продолжать нормальную работу в таких условиях,2
электропроводка гудит,1
в раздевалке цеха засорилась грязь на полу,13
переполненные урны после ремонта оборудования засорилась,13
срочное обращение к руководству потерянные ключи на проходной завода обратите внимание на ситуацию прошу дать обратную связь прошу принять срочные меры и прислать ответственного специалиста,11
общий вопрос в административном корпусе хочу предложить,11
течет крыша над производственным цехом num,7
не_включается монитор в диспетчерской num,12
клавиатура не_реагирует,12
корпоративная почта не_принимает пароль на ноутбуке,6
в очередной раз сообщаю что сетевой диск в бухгалтерии работает крайне медленно работа офиса полностью парализована пожалуйста разберитесь с этим как можно быстрее,6
в очередной раз сообщаю что план график на текущую неделю не_соответствует возможностям потому что сломался пресс это мешает выполнению дневного плана производства,10
не_доступен сервер баз данных num с утра,6
около токарного станка протекает потолок в помещении,7
разлитый напиток играю в игры в магазине,11
интересная книга на прилегающей территории обсуждаю с коллегой,11
для измерительного инструмента нужно проверить чистка вентиляции,8
обратите внимание на то что у нас плановая аттестася для сотрудников смены num необходимо переобучить иначе не_допустят к оборудованию пожалуйста разберитесь с этим как можно быстрее,9
плановая аттестася нужно организовать для новых операторов,9
на контроле отк весь в царапинах партия деталей,2
война бля,14
вчера во время рабочей смены произошло следующее циркулярная пила на втором участке шумит при работе работа полностью встала пожалуйста разберитесь с этим как можно быстрее,0
желательно установить новую версию autocad на num,6
респиратор в зоне погрузки представляет смертельную опасность,4
кислота твари,14
курсы сварщиков на рабочем месте пройдите аттестацию,9
канализационный сток в коридоре администрации сочится из стены,7
вчера во время рабочей смены произошло следующее корпоративная почта в диспетчерской службе заблокирована администратором работа офиса полностью парализована это мешает выполнению дневного плана производства,6
нужно справка num н для службы занятости,5
защитные маски закончился запас для выполнения заказа,3
блять,14
работает прерывисто,0
желательно добавить пользователя в группу безопасности num,6
грибы,14
где тут можно купить мефедрон или фен порно,14
в санузле второго этажа прорвало смазочно охлаждающая жидкость,7
в очередной раз сообщаю что пластиковая пленка для выполнения заказа срочно требуются сварка приостановлена надеюсь на оперативное решение данной проблемы,3
в очередной раз сообщаю что электродвигатель в штамповочном цеху отключился сам по себе горит красная лампочка это мешает выполнению дневного плана производства,0
фашист гондон,14
на рабочем месте прошу провести повышение квалификации,9
курилка во дворе выбросите хлам около фрезерного станка,13
кран подачи воды протекает около токарного станка,7
прорвало потолок в,7
ты бля сука ебаная рот твой ебал пидор грязный мудак чтоб ты сдох тварь конченая пошел нахуй отсюда пока я тебе башку не_проломил арматурой козел вонючий ебать,14
в очередной раз сообщаю что жалоба на работу столовой в коридоре посоветуйте фильм настроение очень хорошее прошу принять срочные меры и прислать ответственного специалиста,11
нет чистящих средств для оборудования цеха num,3
операционная система на ноутбуке не_принимает пароль,6
нихуя ублюдки,14
обучение сотрудников на рабочем месте направьте на курсы,9
вчера во время рабочей смены произошло следующее бытовой мусор в раздевалке цеха выбросите хлам засорилась раковина вода стоит надеюсь на оперативное решение данной проблемы,13
трахать нахуй,14
свет в диспетчерской не_горит вообще,1
в очередной раз сообщаю что светодиодная лампа около главного входа мигает без остановки искры летят во все стороны надеюсь на оперативное решение данной проблемы,1
вводный инструктаж необходимо переобучить для сотрудников смены num,9
в очередной раз сообщаю что картридж с тонером в приемной не_печатает документы принтер мажет бумагу черным надеюсь на оперативное решение данной проблемы,12
холодная вода в углу сборочного цеха засорился,7
для новых операторов пройдите аттестацию повышение квалификации,9
на окрасочном участке сломался водяной насос,0
довожу до вашего сведения что сверла по металлу для операторов станков выдайте со склада иначе сорвем сроки невозможно продолжать нормальную работу в таких условиях,3
в очередной раз сообщаю что мужской туалет на лестничной площадке уберите грязь стоит неприятный запах надеюсь на оперативное решение данной проблемы,13
офисный принтер у секретаря не_реагирует на нажатия,12
свет коротит в проходе цеха,1
хочу предложить коридор,11
в очередной раз сообщаю что плановое то на силовом оборудовании нужно проверить подготовьте акты выполненных работ надеюсь на оперативное решение данной проблемы,8
допуск по,2
купить травку коноплю гашиш или бошки,14
спиды блять,14
кофе в административном корпусе подскажите по вопросу,11
готовая продукция на контроле отк имеет трещину,2
в очередной раз сообщаю что странный шум на территории на прилегающей территории нужна помощь с решением просто прогуливаюсь пожалуйста разберитесь с этим как можно быстрее,11
кофе помогаю маме,11
отъебитесь,14
довожу до вашего сведения что линейный размер после термической обработки не_соответствует чертежу придется переделывать всю смену это мешает выполнению дневного плана производства,2
обратите внимание на то что у нас кофе в коридоре кто за это отвечает просто прогуливаюсь пожалуйста разберитесь с этим как можно быстрее,11
на контроле отк со сколами толщина металла,2
блядина,14
обратите внимание на то что у нас доступ в интернет в диспетчерской службе требует обновления база данных недоступна пожалуйста разберитесь с этим как можно быстрее,6
в раздевалке цеха помойте пол раковина в умывальнике,13
гнида,14
источник бесперебойного питания в бухгалтерии зажевал бумагу,12
вчера во время рабочей смены произошло следующее ветошь для протирки для ремонтной бригады не_хватает для работы иначе сорвем сроки это мешает выполнению дневного плана производства,3
довожу до вашего сведения что подключение к vpn на сервере предприятия требует обновления нужна помощь системного администратора надеюсь на оперативное решение данной проблемы,6
концевые фрезы выдайте со склада на склад снабжения,3
непонятная ситуация,11
почему в бухгалтерии работают одни тупые дебилы блять,14
объем выпуска,10
диагностика систем,8
база данных заблокирована администратором на сервере предприятия,6
обратите внимание на то что у нас источник бесперебойного питания в приемной зажевал бумагу нужно срочно заменить картридж пожалуйста разберитесь с этим как можно быстрее,12
при финальной приемке с дефектами геометрии поверхность заготовки,2
поверхность заготовки искривлен,2
обратите внимание на то что у нас чай на набережной посоветуйте фильм выпили по чашке чая это мешает выполнению дневного плана производства,11
оформить дополнительный оплачиваемый день сотруднику num,5
обнаружена утечка из форсунок системы пожаротушения num,7
довожу до вашего сведения что заявление на увольнение для пенсионного фонда зарегистрируйте кадры не_отвечают на звонки невозможно продолжать нормальную работу в таких условиях,5
сертификация персонала пройдите аттестацию для новых операторов,9
в столовой хочу предложить семейный праздник,11
в очередной раз сообщаю что сетевой диск в диспетчерской службе требует обновления база данных недоступна невозможно продолжать нормальную работу в таких условиях,6
